Number,Target variable,Gluteus medius,Gluteus minimus,Adductor longus,Adductor brevis,Adductor magnus,Tensor fasciae latae,Gracilis,Gluteus maximus,Psoas major,Quadriceps,Piriformis,Ipsilateral erector spinae,Contralateral erector spinae,Ipsilateral internal oblique,Contralateral internal oblique,Ipsilateral external oblique,Contralateral external oblique
451,16.64359598,-0.35875965,4.82903677,29.5478871,19.79039833,4.34407647,7.49126097,6.01987381,1.45429608,38.98789855,6.66387545,-0.30958898,53.0603183,204.8014087,43.55315271,55.7982863,22.25542739,64.76685353
452,16.94564705,-0.54613827,3.63082397,12.53125691,20.98664633,5.90869558,7.38283876,6.11338142,1.03489907,39.22801712,11.90957003,-0.34251786,48.03855579,207.5874327,24.34781219,54.67925633,17.90223075,63.2651054
453,17.03394991,-0.72584764,3.05498251,28.80423565,17.36912058,8.37199532,7.2738877,6.14697751,1.3433035,39.38694952,21.54477647,-0.39088008,42.06261091,202.4266725,17.72361838,53.52744597,14.39047745,62.0386568
454,16.91672667,-0.90057318,2.74950189,28.67460753,14.53746407,12.60158734,7.15865173,6.14200286,1.48184627,39.45817265,26.14037513,-0.47614121,36.32745988,195.4347619,16.32547193,52.28675343,12.25290967,60.67367528
455,16.67343659,-1.13136216,2.51303453,28.51629434,7.97532574,17.4261021,7.06223981,6.11997048,1.24390039,39.48298305,25.96904371,-0.62638753,32.82079934,190.3588368,15.61640695,51.22862123,10.41702247,59.33326442
456,16.22622535,-1.31164583,2.32255604,28.35280105,14.53746407,17.6996204,6.95394774,6.07955534,1.03232304,39.42619195,25.46687229,-0.73860322,30.04851848,184.7173785,14.77221038,50.15937921,8.59274348,57.92823121
457,15.34061694,-2.30869966,6.05596239,20.71709186,26.62117193,10.2053908,9.58612607,6.3771342,2.33381486,41.88859098,3.17907067,-3.22237414,50.84239267,110.2514189,15.08615982,30.42393881,13.99322388,35.13319345
458,15.65176142,-3.16261557,4.92327586,10.92633584,26.62117193,11.70289466,9.43815943,6.44615146,1.56324035,42.31408122,4.04419361,-3.86232759,49.50463109,110.9769349,13.41879054,30.21535054,10.1776853,34.90779766
459,15.8384896,-4.02218233,4.07146277,20.90958866,24.93793599,14.16125719,9.26378155,6.47248375,0.66200129,42.67175139,5.44408267,-4.35194238,47.42384244,110.4090467,12.30280195,30.01973654,7.88149293,34.73478568
460,15.91751965,-4.59006415,3.45799612,22.37918703,29.570641,18.21162411,9.08004362,6.46647471,0.03814004,42.92678293,7.63989766,-4.59574339,45.09774647,109.2596383,11.69565981,29.88841006,6.81233031,34.60265363
